2020,2020-08-18,2,0,10
2020,2020-08-19,2,0,10
2020,2020-08-20,2,0,10
2020,2020-08-21,2,0,12
2020,2020-08-22,2,0,11
2020,2020-08-23,1,0,9
2020,2020-08-24,2,0,10
2020,2020-08-25,2,0,10
2020,2020-08-26,2,0,9
2020,2020-08-27,2,0,9
2020,2020-08-28,2,0,10
2020,2020-08-29,2,0,10
2020,2020-08-30,1,0,8
2020,2020-08-31,2,0,10
2020,2020-09-01,2,0,10
2020,2020-09-02,2,0,10
2020,2020-09-03,2,0,11
2020,2020-09-04,2,0,11
2020,2020-09-05,2,0,11
2020,2020-09-06,1,0,9
2020,2020-09-07,1,0,9
2020,2020-09-08,2,0,10
2020,2020-09-09,2,0,11
2020,2020-09-10,2,0,10
2020,2020-09-11,2,0,11
2020,2020-09-12,2,0,11
2020,2020-09-13,1,0,9
2020,2020-09-14,2,0,10
2020,2020-09-15,2,0,10
2020,2020-09-16,2,0,10
2020,2020-09-17,2,0,10
2020,2020-09-18,2,0,10
2020,2020-09-19,2,0,10
2020,2020-09-20,1,0,9
2020,2020-09-21,2,0,9
2020,2020-09-22,2,0,10
2020,2020-09-23,2,0,11
2020,2020-09-24,2,0,11
2020,2020-09-25,2,0,11
2020,2020-09-26,2,0,11
2020,2020-09-27,1,0,9
2020,2020-09-28,2,0,11
2020,2020-09-29,2,0,10
2020,2020-09-30,2,0,11
2020,2020-10-01,2,0,11
2020,2020-10-02,2,0,11
2020,2020-10-03,2,0,10
2020,2020-10-04,1,0,9
2020,2020-10-05,2,0,11
2020,2020-10-06,2,0,10
2020,2020-10-07,2,0,11
2020,2020-10-08,2,0,11
2020,2020-10-09,2,0,11
2020,2020-10-10,2,0,10
2020,2020-10-11,1,0,9
2020,2020-10-12,2,0,10
2020,2020-10-13,2,0,11
2020,2020-10-14,2,0,11
2020,2020-10-15,2,0,11
2020,2020-10-16,2,0,10
2020,2020-10-17,2,0,11
2020,2020-10-18,1,0,11
2020,2020-10-19,2,0,10
2020,2020-10-20,2,0,10
2020,2020-10-21,2,0,10
2020,2020-10-22,2,0,10
2020,2020-10-23,2,0,10
2020,2020-10-24,2,0,10
2020,2020-10-25,1,0,9
2020,2020-10-26,2,0,10
2020,2020-10-27,2,0,10
2020,2020-10-28,2,0,10
2020,2020-10-29,2,0,10
2020,2020-10-30,2,0,11
2020,2020-10-31,2,0,10
2020,2020-11-01,1,0,9
2020,2020-11-02,2,0,11
2020,2020-11-03,2,0,11
2020,2020-11-04,2,0,10
2020,2020-11-05,2,0,10
2020,2020-11-06,2,0,10
2020,2020-11-07,2,0,10
2020,2020-11-08,1,0,9
2020,2020-11-09,2,0,9
2020,2020-11-10,2,0,10
2020,2020-11-11,2,0,9
2020,2020-11-12,2,0,9
2020,2020-11-13,2,0,10
2020,2020-11-14,2,0,10
2020,2020-11-15,1,0,9
2020,2020-11-16,2,0,10
2020,2020-11-17,2,0,10
2020,2020-11-18,2,0,10
2020,2020-11-19,2,0,10
2020,2020-11-20,2,0,10
2020,2020-11-21,2,0,11
2020,2020-11-22,1,0,10
2020,2020-11-23,2,0,11
2020,2020-11-24,2,0,12
2020,2020-11-25,2,0,11
2020,2020-11-26,1,0,8
2020,2020-11-27,1,0,7
2020,2020-11-28,1,0,7
2020,2020-11-29,1,0,8
